,brand,year,model,used_or_new,transmission,drive_type,fuel_type,fuel_consumption,kilometres,cylinders,body_type,doors,seats,price,cylinder_capacity,exterior_clr,suburb,state
6584,Mazda,2023.0,CX-8,NEW,Automatic,AWD,Diesel,6 L / 100 km,7.0,4,SUV,4,7,71888.0,2.2,White,Arncliffe,NSW
6585,Mazda,2022.0,CX-8,DEMO,Automatic,AWD,Diesel,6 L / 100 km,213.0,4,SUV,4,7,68288.0,2.2,Grey,Stanmore,NSW
6586,Mazda,2022.0,CX-9,DEMO,Automatic,AWD,Unleaded,8.8 L / 100 km,7.0,4,SUV,4,7,59988.0,2.5,Grey,Arncliffe,NSW
6587,Hyundai,2017.0,Veloster,USED,Automatic,Front,Unleaded,6.6 L / 100 km,126077.0,4,Hatchback,3,4,19800.0,1.6,Grey,Smithfield,NSW
6588,Fiat,2014.0,500,USED,Automatic,Front,Premium,6.3 L / 100 km,62305.0,4,Hatchback,3,4,11400.0,1.4,White,West Gosford,NSW
6589,Mazda,2022.0,CX-9,DEMO,Automatic,AWD,Unleaded,8.8 L / 100 km,4288.0,4,SUV,4,7,67990.0,2.5,Grey,Stanmore,NSW
6590,Fiat,2013.0,500,USED,Automatic,Front,Premium,5 L / 100 km,100304.0,4,Convertible,2,4,14990.0,1.2,Red,Mcgraths Hill,NSW
6591,Hyundai,2013.0,Veloster,USED,Automatic,Front,Unleaded,6.4 L / 100 km,109453.0,4,Hatchback,3,4,18990.0,1.6,Red,Melrose Park,SA
6592,Mazda,2023.0,CX-9,NEW,Automatic,Front,Unleaded,8.4 L / 100 km,7.0,4,SUV,4,7,59988.0,2.5,White,Arncliffe,NSW
6593,Mercedes-Benz,2016.0,CLS250,USED,Automatic,Rear,Diesel,5.4 L / 100 km,63402.0,4,Sedan,4,4,49800.0,2.1,Silver,Boolaroo,NSW
6594,Mitsubishi,2023.0,Outlander,NEW,Automatic,Front,Unleaded,7.7 L / 100 km,10.0,4,SUV,4,7,47760.0,2.5,Red,Arncliffe,NSW
6595,Holden,2005.0,Astra,USED,Manual,Front,Premium,9 L / 100 km,122624.0,4,Convertible,2,4,3999.0,2.2,Silver,Chester Hill,NSW
6596,Hyundai,2012.0,Veloster,USED,Manual,Front,Unleaded,6.4 L / 100 km,202000.0,4,Hatchback,3,4,10990.0,1.6,Yellow,Waratah,NSW
6597,Hyundai,2023.0,Santa,NEW,Automatic,AWD,Diesel,6.1 L / 100 km,45.0,4,SUV,4,7,71897.0,2.2,White,Singleton,NSW
6598,Mercedes-Benz,2011.0,E250,USED,Automatic,Rear,Premium,7.9 L / 100 km,93542.0,4,Coupe,2,4,24995.0,1.8,Grey,Minchinbury,NSW
6599,Porsche,2018.0,718,USED,Manual,Rear,Unleaded,9.1 L / 100 km,22638.0,4,Coupe,2,2,169888.0,2.5,Red,Carlton,NSW
6600,Mitsubishi,2023.0,Outlander,NEW,Automatic,Front,Unleaded,7.7 L / 100 km,5.0,4,SUV,4,7,46990.0,2.5,Grey,Muswellbrook,NSW
6601,Honda,1990.0,Integra,USED,Automatic,Front,Unleaded,9.5 L / 100 km,233543.0,4,Coupe,2,4,4999.0,1.8,Red,Liverpool,NSW
6602,Holden,2015.0,Cascada,USED,Automatic,Front,Premium,7.5 L / 100 km,49599.0,4,Convertible,2,4,19390.0,1.6,Grey,Phillip,ACT
6603,Mercedes-Benz,2011.0,C180,USED,Automatic,Rear,Premium,7.3 L / 100 km,124532.0,4,Coupe,2,4,17910.0,1.8,Red,Belconnen,ACT
6604,Mitsubishi,2023.0,Outlander,DEMO,Automatic,Front,Unleaded,7.6 L / 100 km,1800.0,4,SUV,4,7,41990.0,2.5,Silver,Liverpool,NSW
6605,Honda,2000.0,Integra,USED,Manual,Front,Premium,9 L / 100 km,205364.0,4,Coupe,2,4,48880.0,1.8,Black,Chipping Norton,NSW
6606,Hyundai,2022.0,Santa,DEMO,Automatic,AWD,Diesel,6.1 L / 100 km,256.0,4,SUV,4,7,59071.0,2.2,Blue,Brookvale,NSW
6607,Subaru,2023.0,BRZ,USED,Manual,Rear,Premium,9.5 L / 100 km,301.0,4,Coupe,2,4,43888.0,2.4,Blue,Greenacre,NSW
6608,Mazda,2023.0,CX-9,NEW,Automatic,Front,Unleaded,8.4 L / 100 km,7.0,4,SUV,4,7,59888.0,2.5,Silver,Arncliffe,NSW
6609,MG,1998.0,F,USED,Manual,Rear,Premium,7.9 L / 100 km,79070.0,4,Convertible,2,2,14990.0,1.8,Green,Batemans Bay,NSW
6610,Porsche,2019.0,718,USED,Automatic,Rear,Unleaded,8.3 L / 100 km,9702.0,4,Coupe,2,2,172250.0,2.5,Grey,Fyshwick,ACT
6611,Mazda,2023.0,CX-8,DEMO,Automatic,Front,,8.1 L / 100 km,7.0,4,SUV,4,7,64688.0,2.5,White,Arncliffe,NSW
6612,Mini,2006.0,Cooper,USED,Manual,Front,Unleaded,6.8 L / 100 km,107151.0,4,Hatchback,2,4,12995.0,1.6,Red,Lismore,NSW
6613,Volkswagen,2013.0,Beetle,USED,Automatic,Front,Premium,6.4 L / 100 km,98091.0,4,Hatchback,3,4,23990.0,1.4,Black,Traralgon,VIC
6614,Mazda,2023.0,CX-9,NEW,Automatic,AWD,Unleaded,8.8 L / 100 km,7.0,4,SUV,4,7,74888.0,2.5,White,Arncliffe,NSW
6615,Audi,2014.0,A3,USED,Automatic,Front,Premium,4.9 L / 100 km,85738.0,4,Convertible,2,4,19990.0,1.4,Black,Phillip,ACT
6616,Mazda,2022.0,CX-9,DEMO,Automatic,AWD,Unleaded,8.8 L / 100 km,16.0,4,SUV,4,7,68500.0,2.5,Silver,Taree,NSW
6617,Mercedes-Benz,2005.0,C180,USED,Automatic,Rear,Unleaded,8.5 L / 100 km,136410.0,4,Coupe,2,4,12990.0,1.8,Grey,Mulgrave,VIC
